Address,Bedrooms,Bathrooms,Listing Title / Heading,Date Property First Listed,Agency Name,Agent Name,Listing Link,Contact Number,Property Description
"3b/31 Day Street, City Centre, Auckland City, Auckland",   1 Bed ,   1 Bath ," City Centre, 1 bedroom ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/2758614002?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"STUDIO, APARTMENT ,* FREE water *, ,Warm spacious * STUDIO * apartment on 3rd floor of secure, quiet, complex with large own-use curved balcony. Other apartments are mostly owner/occupied.,This apartment is approx. 40 sqm … much bigger than your average studio. ,UNFURNISHED*, but has full white-ware:, ,Oven Hob/2 hot-plate cook-top Range-hood Dishwasher full size fridge with separate freezer compartment full size washing machine full size wall mounted clothes drier , ,3rd floor apartment has moveable room divider / wardrobe that allows you to design your own space. ,Good indoor / outdoor flow to large curved balcony extends your living area. ,Huge roof-top communal picnic and BBQ area with sweeping views of city and harbour. ,:: Includes ALL Whiteware :: No charge for water - Probably equivalent to saving about $10 - $15 per week! :: Electricity: No connection fee, just pay for what you use. :: Secure undercover carpark at $50 extra ,The location is superb! Located very close to Ponsonby, K'rd shops, upper Queen Street, and a stone’s throw from universities. Auckland City centre is just a couple of minute’s walk away.,UNFURNISHED – you need to bring your own bed. TV, other furniture.,No pets,Fixed term tenancy until 31 January 2021,REQUIREMENTS TO MOVE IN: , ,One weeks rent in advance 3 weeks rent as Bond Total move in costs $1780, ,TO APPLY FOR THIS PROPERTY YOU MUST PROVIDE: ,Photo ID (e.g. - Current Passport / NZ Drivers License / etc),Proof of current address,Proof of Employment or Income,2 references or contact details of 2 Referees – Preferably past landlords,Contact Sue for application form or appointment to view Phone 027 290 8285 mailto:Masters6255@gmail.com,No pets No smokers Maximum 2 tenants"
"4/84 Duncan Street, City Centre, Dunedin, Otago",   2 Beds ,   1 Bath ," City Centre, 2 bedrooms ",, DPM , DPM ,https://www.trademe.co.nz/a/property/residential/rent/otago/dunedin/city-centre/listing/2758524848?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"The 84 Duncan street apartments represent a range of 1-2-bedroom high spec units equipped with brand new kitchens/bathrooms, curtains, carpets and paint. The exterior of the property has been repainted with upgrades to the roof and have been fully double glazed.,The apartments are the ideal property for those who wish to be within close proximity of the CBD whilst being able to enjoy the quieter lifestyle that Dunedin offers.,Double glazed windows, aluminium joinery and insulation,Built in wardrobes in all bedrooms,Heatpump and good sun profile (top unit),Views over the cityscape,Includes 1x carpark,Whiteware included"
"35 Alverston Street, Waterview, Auckland City, Auckland",   3 Beds ,   1 Bath ," Waterview, 3 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/waterview/listing/2758723454?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Sunny three bedroom house, with separate dining and lounge areas. There is a wooden deck accessed off the dining and lounge areas which is great for entertaining. There is a self-contained porch in the front of the house.,The house is fully insulated (ceiling, walls and underfloor) and has a heat pump installed.,Polished wooden floors and the laundry and bathroom are tiled.,The property is fully fenced and there is a secluded courtyard, and garden shed for storage.,Cats by negotiation, no dogs."
"58 Beazley Avenue, Paparangi, Wellington, Wellington",   3 Beds ,   1 Bath ," Paparangi, 3 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/paparangi/listing/2758689290?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"3 bedroom house with 1 bathroom.,This appealing and very sunny, insulated home in central Paparangi is available for rent. ,Walking distance to primary, intermediate and secondary schools; bus stops, parks, medical centre, pharmacy and supermarket; this home is located close all amenities that a family or professional couple may require. Only 10 minutes to Wellington CBD.,North facing living room receives all-day sun. Heat pump keeps the house toasty warm. ,Bright, clean bathroom with shower and a separate toilet facility. ,Separate laundry. Kitchen has direct access to back yard area.,Fenced and private backyard.,View by appointment: For further details please contact 021 831 301."
"7/50 Selywn Ave, Mission Bay, Auckland City, Auckland",   3 Beds ,   2 Baths ," Mission Bay, 3 bedrooms ",," Ray White Remuera (Megan Jaffe Real Estate Ltd), (Licensed: REAA 2008) ", Kay Glendining ,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mission-bay/listing/2758702124?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Just a 300m stroll to Mission Bay Beach, located on a quiet street, in a brand new community complex, this three-level townhouse has unbelievable views and is ready for you to move into now and enjoy the lifestyle. ,Architecturally designed by Novak + Middleton a Gibbons Co development,One of fourteen brand new townhouses, this home offers secure car-parking, private courtyards, and north-facing views.,Features include: 3 bedrooms 2 bathrooms (one ensuite) Open plan living, dining, and modern kitchen, leading out to private fenced courtyard Heatpump Wooden floorboards and plush carpet throughout.,Live the lifestyle and enjoy peace, sea views, and all the conveniences that Mission Bay beach has to offer. ,Easy commute to the CBD In zone for top schools,This home would suit a small family, professional couples or retired persons who will appreciate luxury modern living."
"3/22a Church street, Northcote Point, North Shore City, Auckland",   2 Beds ,   1 Bath ," Northcote Point, 2 bedrooms ",," Birkenhead Rentals (Lochore's Real Estate Ltd), (Licensed: REAA 2008) ", Judy Pearsey ,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/northcote-point/listing/2758698678?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Well presented 2 bedroom unit with new carpet in resort like setting with shared use of pool and games room. Modern kitchen. One extra large double bedroom and one single bedroom. Combined bathroom, laundry. Kitchen has built in cupboards and dining opens onto small courtyard overlooking lawn, and pool. One off street park. Lawn mowing included.,MOVE IN COSTS $2500 (Rent $1000 Bond $1500 ),Contact Judy Pearsey 4810131 cell 027 5987847 ,To apply for this property please use the following link https://goo.gl/uZnlNb"
"13 Konini Street, Levin, Horowhenua, Manawatu / Whanganui",   4 Beds ,   1 Bath ," Levin, 4 bedrooms ",, Seddon Street Property Management Ltd , Maureen Duffy ,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/horowhenua/levin/listing/2758743873?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Open Home: Sunday 30 August from 11.00-11.30am,Fantastic 4 bedroom brick family home, oodles of space and a conservatory, all on a huge fully fenced and secure yard for the children.,The property has been freshly renovated, painted inside and out, new carpet, updated bathroom and kitchen with new dishwasher and extractor fans, insulated top and bottom, two heat pumps, separate laundry.,All this in Fairfield School zone.,https://www.seddonstreet.com/s/SSPM-Tenancy-Application-Form.pdf"
"197A Gillies Ave, Epsom, Auckland City, Auckland",   6+ Beds ,   3 Baths ," Epsom, 6+ bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/epsom/listing/2758756167?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Beautiful modern house located in the heart of Epson, a short walk to Newmarket, Remuera and Mt Eden shopping centres. Good public transport and handy to motorway.,Zoned for Auckland Boys Grammar and Epsom Girls Grammar, Kohia Terrace Primary, Akld Normal Intermediate. Kings School. All within easy walking distance. ,Large kitchen. Gas cooking, fireplace, and hot water. Swimming pool with lap pool and solar heating. Central vacuum system. Sunny backyard, large rumpus room, alarm system, electric gates. Fibre internet, sky TV dish, underfloor heating.,Private and quiet, down a driveway. Long tenancy available. No tenancy fees"
"1551 great north road, Waterview, Auckland City, Auckland",   3 Beds ,   2 Baths ," Waterview, 3 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/waterview/listing/2758766044?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"3 bedroom house with 2 bathrooms.,Fully furnished (except bedrooms) Whole house available on Great North Road, Waterview. 3 bedrooms with built in wardrobes, bathroom with bath and separate shower, separate toilet. 4 off street car parks (1 undercover) and small front and back yard. All appliances included (e.g washing machine, dryer, fridge, Fibre Connection Internet and all the normal things!),Brand new kitchen and freshly painted.,8 min drive to town, bus stop at end of driveway, train station 2kms away. Close to Point Chevalier, St Lukes, Avondale. Super close to city(Bike track to city) and other central suburbs. Across the road from Unitec Campus. Easy access to Western and Southern Motorway.,House is off the street down a drive way so nice and quiet. ,Available 18th September or negotiable for earlier.,027-4704720"
"12 Maire Street, Levin, Horowhenua, Manawatu / Whanganui",   4 Beds ,   1 Bath ," Levin, 4 bedrooms ",, Seddon Street Property Management Ltd , Maureen Duffy ,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/horowhenua/levin/listing/2758779341?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Updated, and internal, pictures on 1 September.,4 Bedroom (3 plus sleepout) - Available 5 September,Open Home: Sunday 30 August from 12.15-12.45pm,Bond: $2,100 (4 Weeks),Solid renovated 3 bedroom brick house plus sleepout.,The property has been freshly renovated, painted inside, new carpet, new bathroom and new heat pump, new oven and dishwasher to be installed, Eco panel heaters will be installed in all bedrooms, as will smoke alarms.,Trees are being trimmed and removed and garden tidied up.,Fairfield school zone."
"9 Featherston Street, Levin, Horowhenua, Manawatu / Whanganui",   4 Beds ,   2 Baths ," Levin, 4 bedrooms ",, Seddon Street Property Management Ltd , Maureen Duffy ,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/horowhenua/levin/listing/2758759735?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"4 Bedroom, 2 bathroom plus office and 2 large garages,Open Home: Sunday 30 August from 1.00-1.30pm,Bond: $2,120 (4 Weeks),A great opportunity to secure this fabulous family home with room for everyone. With four bedrooms, including the master with en-suite as well as a separate office.,The property has been freshly renovated with fresh paint and wallpaper inside, painted outside, new carpet and vinyl, updated kitchen and family bathroom and a new wood burner.,The kitchen flows nicely to the dining room and sunny lounge, with ranch sliders and deck.,With plenty of off street parking plus two garages with workshops and conveniently located close to schools.,Eco panel heaters will be installed in all bedrooms, as will smoke alarms."
