name,price,availability,warning,tax
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Past Never Ends,£56.50,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Torch Is Passed: A Harding Family Story,£19.09,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Secret of Dreadwillow Carse,£56.13,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Thirst,£17.27,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
This One Summer,£19.49,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,In stock (4 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Leave This Song Behind: Teen Poetry at Its Best,£51.17,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,In stock (6 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Crossover,£38.77,In stock (5 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Rework,£44.88,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Booked,£17.49,In stock (5 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Twenty Love Poems and a Song of Despair,£30.95,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Please Kill Me: The Uncensored Oral History of Punk,£31.19,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Love Is a Mix Tape (Music #1),£18.03,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
This Is Your Brain on Music: The Science of a Human Obsession,£38.40,In stock (5 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Chronicles, Vol. 1",£52.60,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Friday Night Lights: A Town, a Team, and a Dream",£51.22,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Book of Basketball: The NBA According to The Sports Guy,£44.84,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Sugar Rush (Offensive Line #2),£24.42,In stock (2 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Birdsong: A Story in Pictures,£54.64,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Settling the Score (The Summer Games #1),£44.91,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Icing (Aces Hockey #2),£40.44,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Night Sky with Exit Wounds,£41.05,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Out of Print: City Lights Spotlight No. 14,£53.64,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
salt.,£46.78,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Howl and Other Poems,£40.45,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Born for This: How to Find the Work You Were Meant to Do,£21.59,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Rich Dad, Poor Dad",£51.74,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Les Fleurs du Mal,£29.04,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Ready Player One,£19.07,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Dune (Dune #1),£54.86,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Three Wishes (River of Time: California #1),£44.18,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Last Girl (The Dominion Trilogy #1),£36.26,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Guilty (Will Robie #4),£13.82,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Poems That Make Grown Women Cry,£14.19,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Give It Back,£18.32,In stock (6 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Shtum,£55.84,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The 14th Colony (Cotton Malone #11),£39.24,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Killing Floor (Jack Reacher #1),£31.49,In stock (5 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Voyager (Outlander #3),£21.07,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Red Tent,£35.66,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
You (You #1),£43.61,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Counted With the Stars (Out from Egypt #1),£17.97,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
If I Run (If I Run #1),£49.97,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Soft Apocalypse,£26.12,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Sleeping Giants (Themis Files #1),£48.74,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Arena,£21.36,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Foundation (Foundation (Publication Order) #1),£32.42,In stock (5 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Finders Keepers (Bill Hodges Trilogy #2),£53.53,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Time Keeper,£27.88,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Testament of Mary,£52.67,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The First Hostage (J.B. Collins #2),£25.85,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Take Me with You,£45.21,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Lilac Girls,£17.28,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Constant Princess (The Tudor Court #1),£16.62,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Invention of Wings,£37.34,In stock (6 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
32 Yolks,£53.63,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Redeeming Love,£20.47,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Close to You,£49.46,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Art of Startup Fundraising,£21.00,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Emerald Mystery,£23.15,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Girl on the Train,£55.02,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Join,£35.67,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Shadows of the Past (Logan Point #1),£39.67,In stock (8 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Vacationers,£42.15,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Like Never Before (Walker Family #2),£28.77,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Regional Office Is Under Attack!,£51.36,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
World Without End (The Pillars of the Earth #2),£32.97,In stock (5 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The House by the Lake,£36.95,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Mrs. Houdini,£30.25,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,In stock (13 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Cravings: Recipes for What You Want to Eat,£20.50,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,In stock (9 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Tracing Numbers on a Train,£41.60,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Thirteen Reasons Why,£52.72,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Secret (The Secret #1),£27.37,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Psychopath Test: A Journey Through the Madness Industry,£36.00,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Kite Runner,£41.82,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Marriage of Opposites,£28.08,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Glory over Everything: Beyond The Kitchen House,£45.84,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Love, Lies and Spies",£20.55,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
A Paris Apartment,£39.01,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Passion of Dolssa,£28.32,In stock (4 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Girl With a Pearl Earring,£26.77,In stock (4 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Tuesday Nights in 1980,£21.04,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Barefoot Contessa Back to Basics,£28.01,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
A World of Flavor: Your Gluten Free Passport,£42.95,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Bossypants,£49.46,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Playing with Fire,£13.71,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Project,£10.65,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
A Flight of Arrows (The Pathfinders #2),£55.53,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Still Life with Bread Crumbs,£26.41,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,In stock (14 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Last Painting of Sara de Vos,£55.55,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Guernsey Literary and Potato Peel Pie Society,£49.53,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,In stock (7 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Girl in the Blue Coat,£46.83,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Something Blue (Darcy & Rachel #2),£54.62,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
I've Got Your Number,£19.69,In stock (3 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Poisonous (Max Revere Novels #3),£26.80,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Most Wanted,£35.28,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Hide Away (Eve Duncan #20),£11.84,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Boar Island (Anna Pigeon #19),£59.48,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Widow,£27.26,In stock (11 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
My Paris Kitchen: Recipes and Stories,£33.37,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Bridget Jones's Diary (Bridget Jones #1),£29.82,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Mistake (Off-Campus #2),£43.29,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,In stock (15 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Hook Up (Game On #1),£36.29,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Shameless,£58.35,In stock (1 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock (12 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
