Address,Listing Title / Heading,postcode,Rent $ First Listed,Rent $ Per Month/Weak,Date Property Removed,Agency Name,Agent_address,listing_link,Contact Number,Features,Property Description
"Summerbridge, Harrogate, HG3 4HS",4 bedroom detached house to rent,HG3,"£1,195 pcm (£276 pw)","£1,195 pcm (£276 pw)",Availability date: 3 Sep 2020,FSS Feather Smailes Scales - Harrogate,"8 Raglan Street, Harrogate, HG1 1LE",https://www.onthemarket.com/details/7114814/, 01423 578944,"['Detached Cottage', '2 Reception Rooms, 4 Bedrooms, 2 Bathrooms', 'Pleasant Village Location', 'Deceptively Spacious', 'Neutrally Decorated', 'Modern Fitted Kitchen', 'Close to Open Countryside', 'Off Street Parking', 'Raised Decked Area', 'Viewing Recommended']","['','DESCRIPTION','','Aneutrallydecoratedfourbedroomdetachedcottage,offeringdeceptivelyspaciousaccommodation,withattractivediningroomleadingontoaraiseddeckedareaoverlookingopenwoodland.Thepropertyhasgascentralheatingdoubleglazingandamodernfittedkitchenandtwoqualitybathrooms.Thereisoffstreetparkingandturningarea,wewouldstronglyrecommendinternalinspectiontofullyappreciatetheaccommodationoffered.\xa0','LOCATION','','SituatedattheheartofthispopularvillageideallylocatedbetweenHarrogateandPateleyBridge.Opencountrysideiscloseathandthepropertyiswellservedbypublictransport.Availableonalong-termtenancyifrequired.\xa0']"
"Kirk Lea Cottage, Lofthouse, Harrogate, HG3 5SG",3 bedroom detached bungalow to rent,HG3,£800 pcm (£185 pw),£800 pcm (£185 pw),Furnished,Lister Haigh - Boroughbridge,"5 St James Square, Boroughbridge, YO51 9AS",https://www.onthemarket.com/details/7646275/, 01423 369151,[],"['','LOCATION','','Thepropertyissetingloriousopencountrysideapproximately1/2miletothesouthwestoftheNidderdalevillageofLofthouse.7mileswestofPateleyBridge,21milesnorthwestofthecosmopolitantownofHarrogate.','Lofthousehasaprimaryschool,villagehallandpublichousewithafurtherrangeofshopsandamenitiesavailableinPateleyBridge\xa0','DESCRIPTION','','A3BedroomDetachedStoneBuiltBungalowbeingnestledonthesideoftheNidderdaleFellsenjoyingspectacularviewsbothupanddownthedaleinanareaofoutstandingnaturalbeauty.ThepropertybenefitsfromUpvcdoubleglazingandoilfiredcentralheating.','Anearlyviewingisrecommended.','\xa0','ACCOMMODATION','','\xa0','ENTRANCE','','HALL','','Laminatefloor.Radiator\xa0','LIVING','','ROOM/DINING','','ROOM','','21\'3""x10\'9""(6.48mx3.28m)','Stonefireplacewithfittedmultifuelstove.\xa0','KITCHEN','','12\'4""x7\'9""(3.77mx2.37m)','Witharangeofbaseandwallunitsincorporating1.5bowlsinkunit.Integratedselfcleaningoven,ceramichobwithcookerhoodover.Radiator\xa0','CONSERVATORY','','10\'7""x8\'8""(3.25mx2.65m)','Upvcdoubleglazingthroughout.Radiator.Solidroof.\xa0','BATHROOM','','7\'7""x6\'5""(2.32mx1.97m)','Whitesuitecomprisingpanelledbath,pedestalwashhandbasin,lowlevelwc.Tiledwalls.Cylinderandairingcupboard.Radiator.\xa0','MASTER','','BEDROOM','','10\'7""x9\'8""(3.25mx2.95m)','Fittedwardrobesandcupboards.Radiator.','Windowtofrontelevation.\xa0','BEDROOM','','2','','9\'8""x7\'11""(2.97mx2.42m)','Radiator.Windowtofrontelevation.\xa0','BEDROOM','','3','','11\'2""x6\'6""(3.42mx1.99m)','Windowtorearelevation.Radiator.\xa0','OUTSIDE','','Gravelledfrontgarden.','Parkingareatothefrontoftheproperty.','Duringtimesofbadweather,alternativeparkingarrangementsareavailableatStudFoldFarm.\xa0','TERMS','','OF','','TENANCY','','ThepropertyisavailabletoLet,partlyfurnishedonanAssuredShortholdTenancyforaperiodof6monthsatarentof£800percalendarmonth,payableinadvance.','ABondofonemonthsrent,plus£100willbepayable.','TheTenantwillberesponsibleforthecostofoil,electricityandcounciltax.','Nopetswillbeallowed.','ThegarageisEXCLUDEDfromthetenancy.\xa0','SERVICES','','Wehavebeeninformedthatthepropertyhasmainselectricity,septictankdrainageandaspringfedwatersupply.\xa0','VIEWING','','ByappointmentwiththeLettingAgents,ListerHaighon01423-322382\xa0','DIRECTIONS','','FromPateleyBridgeproceeddownthehillinthemainstreetovertheriverbridgetakingthe1stturningontherighthandsideontoLowWathRoad,whichissignpostedRamsgill,LofthouseandMiddlesmoor.ContinueonthisroadpasttheGouthwaitereservoir.ProceedthroughRamsgillandLofthousetakingtheroadtowardsMiddlesmoor.Takethe1stturningontheleftafterpassingthroughLofthouse,signpostedHowSteanGorge.CrossthegorgeandturnlefttowardsStudfoldCaravanPark.BearrightthroughthefarmandturnimmediatelyrightupthehillandKirkleaCottagecanbefoundontherighthandside.\xa0']"
"King's Road, Harrogate",2 bedroom apartment to rent,HG1,£725 pcm (£167 pw),£725 pcm (£167 pw),Available now,Verity Frearson - Harrogate,"26 Albert Street, Harrogate, HG1 1JT",https://www.onthemarket.com/details/9127323/, 01423 578953,[],"['','','Agood-sizedtwo-bedroomedapartmentonthetopfloorofthisattractiveperiodpropertyinHarrogatetowncentre.Theapartmentprovidesgenerousaccommodationwithsittingroom,twogood-sizedbedrooms,well-equippedkitchenandbathroom.Thereisalsoaspacioushallwaywhichcanbeusedasadiningarea.',""King'sRoadisasought-afterlocationasitiswellservedbyaparadeofshopsandisandjustashortwalkfromHarrogatetowncentreandtherailwaystationEPCratingE.\xa0"",'SECOND','','FLOOR','','\xa0','LANDING','','/','','DINING','','AREA','','Aspaciouslandingarea,withdiningtable&chairs.\xa0','SITTING','','ROOM','','Agood-sizedreceptionroomwithwindowtofrontandfireplacewithelectricfire.\xa0','KITCHEN','','Havingarangeofwallandbaseunits,electrichob,integratedelectricoven,washingmachineandfridge/freezer.Windowtorear.\xa0','BEDROOM','','1','','Adoublebedroomwithwindowtorearandfittedwardrobesandkingsizebed.\xa0','BEDROOM','','2','','Afurtherbedroomwithsinglebedandchestofdrawers,windowtofront.\xa0','BATHROOM','','WithWC,washbasinandbathwithshowerabove.Windowtoside,heatedtowelrail.\xa0',""AGENT'S"",'','NOTE','','Thepropertyhasanelectricheatingsystem\xa0','TERMS','','1.TobeletonanAssuredShortholdTenancyforaminimumtermofatleast6months.',""2.Nochildrenorsharerswithoutlandlord'sconsent.NoPets."",'3.Eachapplicantisrequiredtocompleteanapplicationformtoapplyforaproperty.AnapplicationisnotdeemedasputforwarduntilALLapplicantshavereturnedafullycompletedformtotheagent.','4.Referenceswillbeobtainedusingacreditreferenceagency.','5.Theholdingdepositistheequivalentof1weeksrentpayabletoreserveaproperty.','6.Theholdingdepositcanberetainedbytheagent/landlordincertaincircumstancesifthetenancydoesnotgoaheadasoutlinedwithinSchedule1,TenantFeesAct2019.','7.TheBond(securitydeposit)istheequivalentof5weeksrentpayableinclearedfundsatthecommencementofthetenancy.','8.Thepropertywillbewithdrawnfromthemarketpendingreferencingandrighttorentchecksassoonasanapplicationisprovisionallyacceptedbythelandlordandaholdingdeposithasbeenpaid.','9.Theholdingdepositwillbeusedaspartofyourfirstmonthsrentpaymentiftheapplicationcomestofruition.','10.Thedeadlineforagreementis15calendardaysfromthedatetheholdingdepositisreceivedbytheagent.','11.Themove-indatemustbenomorethan30daysafterpaymentoftheholdingdeposit.Themoveindatewillbeagreedattheapplicationstage.','12.Beforemovingintoapropertypaymentofthefirstmonthsrentandbondmustbemadeinclearedfunds.','13.Tenantsareresponsibleforanypermittedpaymentsifapplicablethroughoutthetenancy.','14.Pleasenotethatalldimensionsgiveninthesedetailsareapproximateandthatpropertiesareofferedtoletasseen.Prospectivetenantsshouldsatisfythemselvesastothesuitabilityofthepropertyonthisbasisbeforeapplyingforatenancy.','15.VerityFrearsonisamemberofRICs,whichisaclientmoneyprotectionschemeandalsoamemberofThePropertyOmbudsman(TPO)whichisaredressscheme.','16.ThispropertywillbemanagedbyVerityFrearson.\xa0']"
"East Parade, Harrogate, North Yorkshire, HG1",2 bedroom apartment to rent,HG1,£799 pcm (£184 pw),£799 pcm (£184 pw),Availability date: 25 Sep 2020,YPP - Leeds,"YPP House, 6 Blenheim Terrace, Leeds, West Yorkshire, LS2 9HZ",https://www.onthemarket.com/details/9118045/, 0113 482 9603,"['Available 25th September', 'Top floor apartment', 'Fully furnished', 'Modern furniture', 'Ideal for professionals', 'Close to Harrogate train station', 'Large fridge-freezer', 'Dining table and chairs', 'Bath with shower']","['Two-bedroomapartmentsituatedinanoldstonebuildingonEastParade,HG1.TheapartmentiswithineasyreachoftheamenitiesofHarrogatetowncentreandthetrainstation.Available3rdOctober','\rLocatedonthetopfloorofalargeconvertedhouse,thefullyfurnishedapartmentincludesaspacious,open-planlivingareafurnishedwithsofas,acoffeetable,andadiningtablewithchairs.Thekitchencomescompletewithappliances,includingafridge-freezer,washer-dryer,ovenandelectrichob.','Bothbedroomsaredoublesandarefurnishedwithabed,wardrobe,bedsidetableanddrawers.Amodern,fully-tiledshowerroomcompletesthisapartment.','Location:Thisapartmentislocatedjusta3-minutewalkfromHarrogateTownCentreandTrainStationmakingitidealforanyonewantingashortcommute.ItisjustafewhousesdownfromTheOdeonCinemaandissurroundedbyshops,supermarkets,restaurantsandbars.','Availability:Thispropertyisavailable25thSeptember2020.','Parking:Wehavealimitednumberofspacesavailableforasmalladditionalfee.Pleaseaskourlettingsteamfordetailsofavailability.','Viewings:Viewingsarebyappointmentonly.Toarrangeaviewing,pleasecontactYPP.','Furtherinformation:53EastParadeisarecentlyrenovateddevelopmentsituatedinHG1.ManagedexclusivelybyYPP,thebuildingcomprises7units,includingone-andtwo-bedroomapartments.','Toviewmoreofourpropertiesonline,pleasevisitourwebsite:.','Ref:F753EP','Ref:YOR190216']"
"Lincoln Grove, Harrogate, HG3",3 bedroom terraced house to rent,HG3,£895 pcm (£207 pw),£895 pcm (£207 pw),Availability date: 7 Sep 2020,Belvoir - Harrogate,"3 Princes Square, Harrogate, North Yorkshire, HG1 1ND",https://www.onthemarket.com/details/8986841/, 01423 578239,"['Recently refurbished', 'Finished to a high standard', 'Modern kitchen', 'Three double bedrooms', 'Stylish & spacious bathroom', 'Short drive to town centre']","['*DEPOSITTAKEN*Averysmartrecentlyrefurbishedthreebedroomendterracehousewhichhasbeenfinishedtoahighstandardthroughout.','Thepropertycomprises-','Entrancehallwaywithstoragecupboard&utilitycupboardwithplumbingforawashingmachine','DownstairsWC','Goodsizeopenplanliving/diningroom21\'7""x10\'5""withwoodlaminateflooring','Modernkitchenwithgreyglossunits,oven,gashob,plumbingforadishwasherandaccesstothereargarden','Maindoublebedroom12\'x10\'5""','Twofurtherdoublebedrooms10\'10""x8\'10""&10\'5""x9\'5""','Stylish&spaciousbathroomwithbath&separateshowercubicle','Upvcwindows.Combiboiler','Goodsizefront&reargarden','Shortdrivetotowncentre','CounciltaxbandB.EPCC','*Nopets*','']"
"Pine Street, Harrogate",3 bedroom terraced house to rent,HG1,£795 pcm (£183 pw),£795 pcm (£183 pw),Availability date: 1 Oct 2020,Nicholls Tyreman - Harrogate,"9 Albert Street, Harrogate, HG1 1JX",https://www.onthemarket.com/details/9154321/, 01423 578945,"['Three bedroom terraced house', 'With gas central heating & double glazing', 'Rear forecourt garden', 'Close to local shops and schools', 'Views over allotment gardens']","['Astonebuiltinnerterracepropertywithpleasantoutlookacrosstheallotmentgardens,situatedinthispopularresidentiallocation,closetoexcellentlocalshoppingparades.','Thepropertytrulyrequiresaninternalinspectiontoappreciatethedoubleglazedandcentrallyheatedaccommodationwhichhasawealthofcharmandcharacterincludingstrippedpinedoorsandfeaturefireplaces.','Theaccommodationcomprises:Entrancevestibule,entrancehall,goodsizedlivingroomwithwindowtofront,spaciousdiningroomwithstoragecupboard,kitchenwithrangeofwallmountedcupboards,baseunitsanddrawers,worksurfaces,fourringgashobunitwithextractorcanopyover,electricoven,plumbingandspaceforwashingmachineandspaceforfridge/freezer,tiledflooranddeepunderstairsstoragecupboard,twodoublebedrooms,single','urserybedroom,bathroomwithpanelledbathwithshowerover,washhandbasinandw/candaccesstospaciousloft.','GroundFloor','-','CanopyPorch','-','EntranceVestibule',""-1.83mx0.91m(6'x3')-"",'EntranceHall','-','LivingRoom','-14\'x10\'10""-','DiningRoom',""-3.66mx3.35m(12'x11')-"",'Kitchen','-3.96mx2.39m(13\'x7\'10"")-','FirstFloor','-','BedroomOne','-4.34mx3.45m(14\'3""x11\'4"")-','BedroomTwo','-3.66mx2.69m(12\'x8\'10"")-','BedroomThree','-2.44mx1.55m(8\'x5\'1"")-','Bathroom','-2.49mx1.55m(8\'2""x5\'1"")-','StorageLoft','-3.96mx3.53m(13\'x11\'7"")-','Outside','-Tothefrontofthepropertyisasmallforecourtgarden.','Totherearofthepropertyisagravelledcourtyardgardenwithtimberboundaryfencingandhandgatetorearaccessroad.','TermsOfTheTenancy','-Thepropertyisofferedonanassuredshortholdtenancyagreementforaminimumofsixmonths.','Areturnablebondof£915isrequiredtobeheldforthedurationofthetenancy.','Therentisexclusiveofservices.','Nosmokers,nopets.','CouncilTaxBandB-£1,514.99','Available1stOctober2020','Directions','-HG14NX-FromtheEmpressRoundabout,turnontoSkiptonRoad.Afterapproximatelyamile,atthetrafficlights,turnrightontoWoodfieldRoad.ThenturnleftinAlbanyAvenueandleftagainontoRawsonStreet.FinallyturnrightontoPineStreetandthepropertyislocatedonthelefthandside.','']"
"Bower Street, Harrogate, HG1 5BQ",3 bedroom apartment to rent,HG1,£695 pcm (£160 pw),£695 pcm (£160 pw),Available now,Verity Frearson - Harrogate,"26 Albert Street, Harrogate, HG1 1JT",https://www.onthemarket.com/details/919386/, 01423 578953,[],"['','','Agoodsizedthreebedroomedduplexapartmentsituatedinthisconvenientareaclosethetowncentre.Theapartmentbenefitsfromgascentralheatinganddoubleglazing.EPCratingD.\xa0','GROUND','','FLOOR','','\xa0','LIVING','','ROOM','','12\'1""x15\'9""(3.68mx4.8m)','Agoodsizedlivingroomwithtwocentralheatingradiators.Fireisdecorativeonlyandisnotinservice.\xa0','KITCHEN','','12\'3""x9\'5""(3.73mx2.87m)','Amodernkitchenwithrangeofshakerstylewallandbaseunitswithappliancescomprisingcookerwithextractorhood,freestandingfridgefreezer,washingmachineandtumbledryer.Withcentralheatingradiator.\xa0','SEPERATE','','WC','','Part-tiledwithwhitelowflushWC.\xa0','HOUSE','','BATHROOM','','','Fittedwithamodernwhitesuiteconsistingofbathwithoverheadshowerfedfromtapsandpedestalwashhandbasin.Withcentralheatingradiatorandtowelstorage.\xa0','SECOND','','FLOOR','','\xa0','LANDING','','Withcentralheatingradiator.\xa0','BEDROOM','','1','','10\'2""x12\'4""(3.1mx3.76m)','Agoodsizeddoublebedroomwithcentralheatingradiator.\xa0','BEDROOM','','2','','9\'6""x7\'0""(2.9mx2.13m)','Afurtherdoublebedroomwithcentralheatingradiator.\xa0','BEDROOM','','3','','8\'3""x12\'7""(2.51mx3.84m)','Afurtherbedroomwithcentralheatingradiator.\xa0','OUTSIDE','','Parkingisonstreet.\xa0','COUNCIL','','TAX','','ThispropertyhasbeenplacedincounciltaxbandB.\xa0','TERMS','','1.TobeletonanAssuredShortholdTenancyforaminimumtermofatleast12months.',""2.Nopetsorchildren.NoSharerswithoutlandlord'sconsent."",'3.Eachapplicantisrequiredtocompleteanapplicationformtoapplyforaproperty.AnapplicationisnotdeemedasputforwarduntilALLapplicantshavereturnedafullycompletedformtotheagent.','4.Referenceswillbeobtainedusingacreditreferenceagency.','5.Theholdingdepositistheequivalentof1weeksrentpayabletoreserveaproperty.','6.Theholdingdepositcanberetainedbytheagent/landlordincertaincircumstancesifthetenancydoesnotgoaheadasoutlinedwithinSchedule1,TenantFeesAct2019.','7.TheBond(securitydeposit)istheequivalentof5weeksrentpayableinclearedfundsatthecommencementofthetenancy.','8.Thepropertywillbewithdrawnfromthemarketpendingreferencingandrighttorentchecksassoonasanapplicationisprovisionallyacceptedbythelandlordandaholdingdeposithasbeenpaid.','9.Theholdingdepositwillbeusedaspartofyourfirstmonthsrentpaymentiftheapplicationcomestofruition.','10.Thedeadlineforagreementis15calendardaysfromthedatetheholdingdepositisreceivedbytheagent.','11.Themove-indatemustbenomorethan30daysafterpaymentoftheholdingdeposit.Themoveindatewillbeagreedattheapplicationstage.','12.Beforemovingintoapropertypaymentofthefirstmonthsrentandbondmustbemadeinclearedfunds.','13.Tenantsareresponsibleforanypermittedpaymentsifapplicablethroughoutthetenancy.','14.Pleasenotethatalldimensionsgiveninthesedetailsareapproximateandthatpropertiesareofferedtoletasseen.Prospectivetenantsshouldsatisfythemselvesastothesuitabilityofthepropertyonthisbasisbeforeapplyingforatenancy.','15.VerityFrearsonisamemberofRICs,whichisaclientmoneyprotectionschemeandalsoamemberofThePropertyOmbudsman(TPO)whichisaredressscheme.','16.ThispropertywillNOTbemanagedbyVerityFrearson.\xa0']"
"Park Parade, Harrogate, HG1 5AP",1 bedroom apartment to rent,HG1,£995 pcm (£230 pw),£995 pcm (£230 pw),Availability date: 10 Oct 2020,FSS Feather Smailes Scales - Harrogate,"8 Raglan Street, Harrogate, HG1 1LE",https://www.onthemarket.com/details/7401893/, 01423 578944,"['Garden Apartment', '1 Reception, 1 Bedroom, 1 Bathroom', 'Superb Location Overlooking the Stray', 'Neutrally Decorated & Carpeted', 'Off Street Parking Space', 'Level Walking Distance of the Town Centre']","['','Description','','Averyspacious1bedroomgardenapartment,locatedwithinthisprestigiousbuildingfrontingthefamousHarrogateStray.Theinteriorofthepropertyisneutrallydecoratedandcarpetedandisequippedwithelectricheating.Thereisanexcellentsizedlivingdiningkitchendoublebedroomwithdressingroomandshowerroom.Inadditionthereisanoffstreetparkingspace.\xa0','Location','','Situatedinthismuchsoughtafterareaofthetown,overlookingtheChristChurchStrayandbeingwithinlevelwalkingdistanceofthetowncentre,mainbusandrailwaystationandshoppingandrestaurantfacilities.\xa0']"
"Melmerby Green Road, Melmerby",Property to rent,HG4,£440 pcm (£102 pw),£440 pcm (£102 pw),Unfurnished,Solo - Ripon,"3a Westgate, Ripon, North Yorkshire, HG4 2AT",https://www.onthemarket.com/details/5313983/, 01765 356959,"['Flexible Terms Available', 'Business Rates Exempt']","['','OPPORTUNITY','','SOLOpresentthisgreatopportunitytorentthisversatilebusinessspaceinahighlyconvenientsettingforlocalandregionaltransportlinks.','Theeasilymanagedspacebenefitsfromtheusualmodernconvenienceswithexcellentlighting,powerpointsandhasbeenbrightlydecorated.Thiscouldbetheideallyproportionedspacetocaterforbusinesseswhereanofficeandworkspacecanbecombinedandforthoserequiringstorageand/orsmallscaleproduction/preparationspace.Communalfacilitiesincludeawelcome/receptionarea,kitchenandtoilet.Arollerdoorentrancecanalsobeutilisedfordeliveryordispatch.','\xa0','SITUATION','','Theunitissituatedinamodernoffice/warehousebuildingonapopularindustrialestateontheoutskirtsofMelmerbyvillage.ThelocationisideallyplacedforthelocalcentresofRiponandThirskwhilethenearbyA1(M)andA19providegreatlinksfortravelanddistributionthroughouttheregion.\xa0','OFFICE/WORKSPACE','','23\'4""x14\'4""(7.11mx4.37m)','\xa0','APPLICATION','','INFORMATION','',""Oneweeksrentispayabletoreserveapropertywhichwillthenbedeductedfromthetotalrentanddepositrequested.Propertieswillremainavailableuntilthisispaid.Oncompletinganapplicationformon-line,youwillneedtoprovideidentification(colourcopyofpassport,driver'slicenceandautilitybill).Thecompletionandsubmissionofanapplicationformdoesnotguaranteetheofferoftenancy,thisissubjecttosatisfactoryreferencesbeingobtained."",""AdepositequivalenttofiveweeksrentpayablebeforethecommencementoftheTenancy.Thefirstmonth'srentanddepositmustbepaidbeforewewillreleasethekeystotheproperty.Applicantsmustshowevidenceoftheircontentsinsurancepriortothestartofatenancy.Paymentscanbemadebybanktransferonly.Personalchequesarenotacceptable.\xa0""]"
"Moorside Dale, Ripon",2 bedroom townhouse to rent,HG4,£650 pcm (£150 pw),£650 pcm (£150 pw),Available now,Joplings - Ripon,"10 North Street, Ripon, HG4 1JY",https://www.onthemarket.com/details/8824544/, 01765 356935,"['Mid Terrace House', 'Lounge & Dining Kitchen', 'Bathroom & Shower', 'Two Double Bedrooms', 'Front & Rear Gardens', 'On Street Parking', 'No Pets/Smokers', 'Available Now', 'EPC- C']","['ATwoBedroomMidTerracewithinwalkingofRiponCityCentre.ThePropertyComprises;EntranceHall.Lounge.KitchenDiner.TwoDoubleBedrooms.Bathroom&Shower.RearGarden.SmallLawnedAreatotheFront.andOnStreetParking.GasCentralHeating.NoPetsorSmokersAvailablenow.EPC-C','Directions','-FromJoplingsOfficeonNorthStreet,HeadoutofRipononHarrogateRoad.BeforethesetoftrafficlightsatMorrisonstaketheturningonyourrightsignpostedMoorsideDale.Number13isonyourlefthandside.','EntranceHall','-1.45mx1.14m-WoodenEntranceDoor.CoatHooks.StairstoFirstFloor.Radiator.','Lounge','-4.17mx3.15m-UnderstairsCupboard.DoubleGlazedWindowtoFront.TV&BTPoint.Radiator.','KitchenDiner','-4.14mx2.87m-RangeofWoodenBase&WallUnits.StainlessSteelSink&Drainer.Cooker,Hob&Grill.DiningTable&Chairs.DoubleGlazedWindowtoRear.DoortoRearGarden.Radiator.','Landing','-1.55mx2.31m-LoftAccess.','BedroomOne','-4.11mx2.26m-DoubleGlazedWindowtoFront.Radiator.','BedroomTwo','-4.14mx2.97m-DoubleGlazedWindowtoRear.StorageCupboard.Radiator.','Bathroom','-1.75mx1.65m-BlueBathroomSuite.BathroomCabinet.DoubleGalzedFrostedWindowtoRear.Radiator.','Outside','-Tothefrontthereisasmalllawnandstepstofrontdoor.Totherearthereisalawn.OnStreetParking.','ApplicationProcess','-Applicantsshouldbeawarethatinordertosatisfythecriteriaofourreferenceagencyyourgrossincomeshouldbe2.5timesthemonthlyrentandyoumustbeinpermanentemploymentorretiredwithproofoffunds/income.InadditionyoumusthavebeenresidentintheUKforaminimumof6months.',""TheImmigrationAct2014nowmakesitalegalrequirementforlandlordsandlettingagentstoperformbasic'immigrationstatuschecks'onallprospectivetenantsbeforeallowingthemtosignatenancyagreement.Thesechecksarerequiredregardlessofwhethertheprospectivetenant(s)areUKcitizensornot,andusuallyrequirenothingmorethanasimplepassportcheckifyou'reaUKorEuropeancitizen,orasimplevisa/permitcheckotherwise."",'Oncompletionofanapplicationform,pleaseprovideyourpassportorvisa/permit&proofofresidency(utilitybillpreferable).ThecontactdetailsprovidedonyourapplicationformarethenusedbyourreferencingcompanyVanMildertwhowillcontactyoudirectbyemailandtextmessagerequestingcompletionofamoredetailedapplicationformeitheronlineoroverthephone.','Thecompletionandsubmissionofanapplicationformdoesnotguaranteetheofferoftenancy,thisissubjecttosatisfactoryreferencesbeingobtained.','References','-OnceJoplingshavereceivedthefinalreportfromVanMildertregardingyourreferenceswewillconfirmtheoutcomebyphoneandemail.Thefirstmonthsrent&depositarepayablebythetenancycommencementdateandmustbeclearedfunds.Allnamedtenants(includingguarantors)arerequiredtobepresentforsigningtheTenancyAgreementpriortokeysbeingreleased.Wedonothavefacilitiestotakedebitorcreditcards,andpersonalchequesarenotacceptabletherefore,allpaymentsmustbemadebybanktransferorbankersdraftmadepayabletoJoplings.NB:ifpayingbybanktransferyourpaymentmustbereceivedintoJoplingsaccountpriortothetenancycommencementdate.','AdditionalInformation','-ThetenantwillberesponsibleforCouncilTaxandUtilityBills.WehavebeeninformedbyHarrogateBoroughCouncilthattheCouncilTaxisBandB.','OpeningHours','-Ripon:','Monday-Friday9.00a.m-5.30p.m','Saturday9.00a.m-1.00p.m','SundayClosed','Viewings','-AllviewingsarestrictlybyappointmentthroughJoplingsEstateAgents,pleasecontacttheRiponofficeat10NorthStreet,Ripon,NorthYorkshire.HG41HD.Telephone:[useContactAgentButton]','']"
"CHATSWORTH GROVE, HARROGATE, HG1 2EB",2 bedroom flat to rent,HG1,£675 pcm (£156 pw),£675 pcm (£156 pw),Available now,Linley & Simpson - Harrogate,"11a Princes Square, Harrogate, HG1 1ND",https://www.onthemarket.com/details/2920642/, 01423 578951,"['TWO BED APARTMENT', 'INDEPENDENT ENTRANCE', 'LARGE LIVING ROOM', 'GOOD STORAGE', 'MODERN KITCHEN & BATHROOM', 'UNFURNISHED']","['AlargemodernTWOBEDROOMAPARTMENTonthetopfloor(secondfloor)ofapurposebuiltdevelopment.SituatedpartwaybetweenRiponRoad&KingsRoad,excellentlocalshopswithinafiveminutewalkonKingsRoadandHarrogateTownCentreapprox.15-20Minswalkaway.ThepropertyisUNFURNISHEDandcomprises:Entrancehallwaywithstoragecupboard,largelivingroom,separatemodernkitchen,masterbedroom,smallerdoublebedroomwithbuiltinwardrobe,housebathroomwithmodernthreepiecesuiteandshoweroverthebath.Whitegoodstoinclude:Cooker,fridgefreezer&washingmachine.Thepropertyhasdoubleglazingandgascentralheating.','Sorrynopets.','Deposit:£775\tEnergyEfficiencyRating:C','']"
"BEDERN BANK, RIPON, NORTH YORKSHIRE, HG4 1PE ",1 bedroom flat to rent,HG4,£625 pcm (£144 pw),£625 pcm (£144 pw),Available now,Linley & Simpson - Ripon,"9-11 Old Market Place, Ripon, HG4 1EQ",https://www.onthemarket.com/details/8141224/, 01765 356939,"['CITY CENTRE APARTMENT', 'NEWLY RENOVATED', 'ALLOCATED PARKING SPACE', 'ONE DOUBLE BEDROOM', 'PRIVATE ENTRANCE', 'MODERN KITCHEN & BATHROOM']","['AfullyrenovatedONEBEDROOMAPARTMENTconvenientlylocatedinRiponCityCentrehavingawidevarietyofshops,restaurantsandeaseofaccesstotheA1M.ThepropertyisavailableUnfurnishedandbrieflycomprises:Privateentrancehall,largestoragecupboard,modernnewlyfittedkitchenwithwashingmachine,builtinfridge/freezer,cookeranddishwasher.Thereisaspaciouslivingroomleadingthroughtoinnerhallwithfurtherstoragecupboardandaccesstodoublebedroomandnewlyfittedbathroomwithawhitethreepiecesuiteandshoweroverbath.Thepropertyalsobenefitsfromallocatedparkingspace.SORRYNOPETS.','Deposit:£715EnergyEfficiencyRating:D','']"
